iter	Logloss
0	0.6810794883
1	0.6671236727
2	0.6547928224
3	0.6388798336
4	0.6255184508
5	0.6107657205
6	0.597742273
7	0.5868113938
8	0.5773122272
9	0.5651215857
10	0.5549107074
11	0.5451467807
12	0.5351335435
13	0.5260023861
14	0.5170632668
15	0.5050287599
16	0.4965513447
17	0.4896703833
18	0.4817171277
19	0.4741251748
20	0.4638897299
21	0.4570747855
22	0.4496472525
23	0.4439396613
24	0.4375988006
25	0.4318534173
26	0.423953214
27	0.4170822543
28	0.4115773768
29	0.4066334316
30	0.3994356859
31	0.3918656241
32	0.3862435341
33	0.3812131129
34	0.3747515669
35	0.3691261275
36	0.3662838709
37	0.3627925437
38	0.35870121
39	0.3543862306
40	0.3502044508
41	0.3466772736
42	0.3416207794
43	0.3373850646
44	0.3349084206
45	0.3319031121
46	0.3272505054
47	0.3235040524
48	0.320217231
49	0.316853304
50	0.3135414778
51	0.3102497836
52	0.3066672862
53	0.3034371474
54	0.2996502152
55	0.2960049552
56	0.2932734401
57	0.2910296752
58	0.2893777334
59	0.2874075057
60	0.2842241261
61	0.2821951846
62	0.2798063465
63	0.277358519
64	0.2747504103
65	0.2726539187
66	0.2706713351
67	0.2678843465
68	0.2656406187
69	0.2636356901
70	0.2617322315
71	0.2592412294
72	0.256742672
73	0.2550477241
74	0.2534519661
75	0.2517446365
76	0.2504317427
77	0.24870891
78	0.2470239728
79	0.2457628405
80	0.2432688925
81	0.2417673753
82	0.2408804284
83	0.2395445561
84	0.2381266037
85	0.2363336547
86	0.2348189162
87	0.233272245
88	0.23205283
89	0.2305881442
90	0.2293414047
91	0.2281167942
92	0.22699558
93	0.2257630761
94	0.2245556329
95	0.2237541491
96	0.2225370909
97	0.2216152148
98	0.2205819179
99	0.2193667087
100	0.2178599851
101	0.2163496164
102	0.2152874488
103	0.2145168537
104	0.2134717113
105	0.2124067605
106	0.2109707822
107	0.2099631076
108	0.2090288431
109	0.207805832
110	0.2066750888
111	0.2055569535
112	0.2047930889
113	0.2035743361
114	0.2030865239
115	0.2021613092
116	0.201507955
117	0.2007670548
118	0.2000029824
119	0.1989890986
120	0.198236654
121	0.197425135
122	0.1965688519
123	0.1957985212
124	0.1950674878
125	0.1942385629
126	0.1937070931
127	0.1929564918
128	0.1922815865
129	0.1915228051
130	0.1908040133
131	0.1901023112
132	0.1893224852
133	0.188404908
134	0.1875935932
135	0.1869896234
136	0.1863057701
137	0.1857272223
138	0.1851756458
139	0.1844488933
140	0.1838379122
141	0.1831885163
142	0.1826264237
143	0.1822891525
144	0.181601188
145	0.18077631
146	0.1801827581
147	0.1796523163
148	0.178995462
149	0.1784815364
150	0.1779875804
151	0.1774786952
152	0.1768492148
153	0.1763358206
154	0.1755996037
155	0.1751426716
156	0.1746547378
157	0.1741077282
158	0.1736775971
159	0.1732405935
160	0.1727563823
161	0.1722755473
162	0.171971398
163	0.1715493063
164	0.1712153802
165	0.1707778325
166	0.1701446259
167	0.169654624
168	0.1690764152
169	0.1684831396
170	0.168083351
171	0.1676477195
172	0.1673029601
173	0.1669740947
174	0.1664718789
175	0.1660089797
176	0.1654688449
177	0.1651414653
178	0.164895634
179	0.1644682341
180	0.1639413264
181	0.1636015064
182	0.1633259742
183	0.1629273345
184	0.1624059135
185	0.1621729607
186	0.1619497027
187	0.1615067226
188	0.1611586638
189	0.1609349035
190	0.1607041476
191	0.1602294414
192	0.1599077342
193	0.1597487699
194	0.1593844255
195	0.1592404841
196	0.1590735115
197	0.158705568
198	0.1582497565
199	0.157853566
200	0.1574221937
201	0.1571682342
202	0.1568093651
203	0.1566142019
204	0.1563261764
205	0.1558396696
206	0.1555010937
207	0.1552832905
208	0.1549850949
209	0.1547132907
210	0.1543980439
211	0.1541447745
212	0.1538665432
213	0.1535545885
214	0.1533491724
215	0.1530062621
216	0.1525816492
217	0.1522021554
218	0.1519405072
219	0.151566381
220	0.1512910228
221	0.1510844236
222	0.1507055644
223	0.1503881296
224	0.1500933015
225	0.1498781788
226	0.1496065379
227	0.1492862375
228	0.1490814106
229	0.14899063
230	0.1485290967
231	0.1482206124
232	0.1480259823
233	0.1477619168
234	0.1476894183
235	0.1475520292
236	0.1472956493
237	0.146907746
238	0.1466682811
239	0.1463763415
240	0.1461702425
241	0.1460556942
242	0.1458126531
243	0.1455312714
244	0.1451844033
245	0.1448585498
246	0.1445429477
247	0.1443459532
248	0.1441637491
249	0.143983632
250	0.1437275062
251	0.1435103526
252	0.1432923452
253	0.1430349219
254	0.1428948196
255	0.1425318385
256	0.1423530766
257	0.1421835912
258	0.1419398188
259	0.1417251701
260	0.141358421
261	0.1412791809
262	0.141136806
263	0.1409281996
264	0.1408354599
265	0.1407396786
266	0.1405328958
267	0.140301468
268	0.1402197692
269	0.1400546806
270	0.1399624319
271	0.1397494676
272	0.1396048947
273	0.1393484023
274	0.1391265609
275	0.1388208588
276	0.1385632444
277	0.1383991528
278	0.1381736768
279	0.1378780695
280	0.1378411995
281	0.1375498587
282	0.1372599085
283	0.1370690173
284	0.1369761454
285	0.136694781
286	0.136545149
287	0.1364728651
288	0.1363943578
289	0.1361545027
290	0.1359845277
291	0.1358241606
292	0.1357721876
293	0.1354021738
294	0.1352854608
295	0.1351193511
296	0.134873543
297	0.1347167497
298	0.1344623141
299	0.134333259
300	0.1340910193
301	0.1339215938
302	0.133824665
303	0.1335037577
304	0.1333583366
305	0.133175884
306	0.1330296042
307	0.1328716143
308	0.132633682
309	0.1323672053
310	0.132284642
311	0.1321763396
312	0.131952668
313	0.1317335015
314	0.1316357231
315	0.1315675308
316	0.1313836147
317	0.1313111789
318	0.1312768052
319	0.1310048658
320	0.1307213593
321	0.1305595969
322	0.1304091507
323	0.1303551123
324	0.1302436933
325	0.1300994101
326	0.1299376912
327	0.1298420255
328	0.1296522595
329	0.129452127
330	0.1293392325
331	0.1292862877
332	0.1290922018
333	0.1288464652
334	0.1286727788
335	0.1285002613
336	0.1283775968
337	0.1283218253
338	0.1282046493
339	0.1280680003
340	0.1279087208
341	0.1277141929
342	0.1276496207
343	0.1275070164
344	0.1273694929
345	0.1271880405
